,Name,Price,Brand,Rating,Seller Name,Number of Sales,Number of Reviews
722,"Apple Macbook Air 133-inch M1 Chip with 8-core CPU, 7-core GPU, 8GB Memory, 256GB SSD",4399.0,Apple,4.96,iTworld,1000.0,314.0
796,14-inch MacBook Pro: Apple M3 chip with 8‑core CPU and 10‑core GPU,6399.0,Apple,5.0,iTworld,7.0,1.0
797,"Apple Macbook Air 133-inch M1 Chip with 8-core CPU, 7-core GPU, 8GB Memory",4399.0,Apple,5.0,Ascentouch Resources,14.0,2.0
856,15 INCH DISPLAY (LENOVO AMD4) LAPTOP CHROOMEBOOK (PLAY STORE) FOR STUDENTS AND SMALL BUSINESS,229.0,Lenovo,4.43,malaysia tech786,19.0,7.0
911,DITU 141'' Laptop Computer N4000 16GB RAM 512GB SSD Notebook laptop FHD 1080 Display  WIFI6  BT50 Windows 11 Pro,599.0,OEM,4.92,DITU Shop,108.0,52.0
912,ONESYNC 8 inch Windows Tablet RAM 4GB ROM 128GB IPS Touchscreen Intel Quad Core Processor Mini Pocket Touchscreens Laptop,620.0,ONESYNC,5.0,ONESYNC Official Store,63.0,27.0
913,NUMVIBE 11Inch tablet PC P60 Laptop Intel Laptop 4G Wifi 12G RAM 512GB ROM Android 120 2 in 1 Tablet Microsoft Office Google Bluetooth 50 Triple Camera,359.0,NUMVIBE,4.91,NUMVIBE,60.0,32.0
946,(REFURBISHED i7 laptop Windows 10 ready  ) i7 1th - 4th Geneartion LAPTOP MIX MODEL INTEL CORE I7 1-4GEN / 4GB RAM / 120GB SSD / DELL / HP / LENOVO / TOSHIBA / ACER / NEC,349.0,OEM,4.2,ELINK NOTEBOOK CENTRE,10.0,5.0
948,"Acer Aspire Lite 16 AL16-52P-59PP (Intel Core i5-1334U/16GB-32GB/512GB SSD/16"" WUXGA IPS/Intel Graphics/Office/W11/2 Year Warranty)",2380.0,Acer,5.0,Acer Certified Store - WIT,73.0,37.0
961,"LENOVO LAPTOP IdeaPad Pro 5 AI CREATOR (RYZEN 7-8845H/16GB /512GB /14"" OLED 28K HDR/ NVIDIA RTX3050 6GB /OFF H&S/ W11/BAG/2Y) IP5 PRO 83D3001DMJ",5499.0,Lenovo IdeaPad,5.0,EIT STORE,5.0,0.0
968,"ASUS Vivobook GO E1504F-ANJ870WS R3-7320U/ 8GB Ram/ 512GB M2/ Amd Radeon/ 156"" FHd/ W11",1899.0,ASUS,5.0,ASUS BRAND STORE - P.C. IMAGE,157.0,53.0
970,"Lenovo Laptop IdeaPad Slim 5 IPS5 (CORE 5 120U/32GB RAM /512GB SSD/153"" IPS WUXGA/Intel UHD Graphics/ OFF H&S 2021/ W11/2Y/BACKPACK) 83D0000FMJ",3299.0,Lenovo,4.39,EIT STORE,87.0,13.0
980,(Warranty 18 Month) HP LAPTOP CHROMEBOOK 15 INCH | PLAYSTORE | CHROMEBOOK | LAPTOP | 4GB RAM | SSD 32GB,139.0,HP,4.77,Excellent Future,94.0,44.0
981,"( Chromebook HP Acer Dell Lenovo Support Google Play Store Refurbished ) 4GB RAM, 16GB/32GB SSD Disk, 116 inch Screen, HDMI Port, Webcam Built In, Battery 3 - 8 Hours Life",95.0,Dell,4.79,ELINK NOTEBOOK CENTRE,86.0,28.0
982,(REFURBISHED i3 laptop ) i3 1th - 4th Generation LAPTOP / NOTEBOOK MIX MODEL INTEL CORE I3 1-4GEN / 4GB RAM / 250GB HDD / 120GB SSD / 240GB SSD / DELL / HP / LENOVO / TOSHIBA / ACER / FUJITSU / NEC / COMPAQ,199.0,OEM,4.61,ELINK NOTEBOOK CENTRE,74.0,33.0
983,( REFURBISHED and Windows 10 ) Laptop Dell Latitude 3160/Acer Travelmate B115/Lenovo x131e  /Intel PENTIUM-CELERON/120GB-240GB SSD/4GB RAM,199.0,Dell,5.0,ELINK NOTEBOOK CENTRE,25.0,1.0
984,"MSI Laptop MODERN 14 C12MO-1420MY (Intel Core i5-1235U/16GB RAM/ 512GB SSD/Intel Iris Xe Graphics/14"" FHD /Off H&s 2021/ W11/15kg weight/ MSI SLEEVE BAG/2Years Warranty)",2499.0,MSI,5.0,EIT STORE,13.0,5.0
985,"Lenovo Laptop IdeaPad Slim 5 (CORE 5 120U/ 32GB RAM/ 512GB SSD/153"" IPS WUXGA/Intel UHD Graphics/ OFF H&S 2021/ W11/179KG ONLY/ 2Y/BACKPACK) IPS5 83D0000FMJ",3299.0,Lenovo IdeaPad,5.0,EIT STORE,18.0,2.0
987,"Acer Aspire Lite 15 AL15-31P-P9YD 156'' FHD Laptop Steel Grey ( N6000, 8GB, 512GB SSD, Intel, W11, HS+M365 )",1551.46,Acer,5.0,Acer Certified Store - NBP,103.0,8.0
988,LENOVO LAPTOP LOQ AI GAMING (RYZEN 7 7435HS/12GB DDR5/512GB SSD/ RTX4060 8GB /156 FHD 144HZ G-SYNC /L1 AI CHIP/W11/BAG/2Y) 83JC00EDMJ,4488.0,Lenovo,4.86,Lenovo Certified Store - EIT,15.0,7.0
1002,Apple MacBook Air 15-Inch M3 Chip,6049.0,Apple,5.0,Apple Authorised Reseller,27.0,10.0
1011,(GRADE B) Chromebook - DELL HP ACER LENOVO ASUS Minor Defect Chrome OS Laptop Budget Murah Notebook Touch Screen,85.0,Dell,5.0,Incore Trade Sdn Bhd,38.0,15.0
1012,DELL Notebook Laptop 4GB RAM 16GB SSD || HD Quality Display Fast Processor,99.0,Dell,5.0,MEGA MALAYSIA,13.0,1.0
1016,"Lenovo 16"" Thinkbook 16 Gen 6 i5-13420H 16GB DDR5 512GB WUXGA IPS Windows 11 Trial 3Y Onsite Laptop",2799.0,Lenovo,5.0,CGi-Store,16.0,6.0
1017,SEYOHTL 156 Inch Intel Celeron J4105/J4115 Laptop 8GB RAM 512GB SSD Gaming Laptop Window 11 Pro For Business Office Designer Student,629.0,OEM,4.96,SEYOHTL Franchise Store   ,44.0,28.0
1018,"LENOVO LAPTOP YOGA SLIM 7 ProX 82TL004LMJ (Ryzen 7 6800HS /16GB /512GB /RTX3050 4GB /145"" 3K (3072X1920) IPS 120HZ /OFF H&S 2021/W11 /3YRS WRTY /BACKPACK)",5699.0,Lenovo,5.0,EIT STORE,7.0,2.0
1019,Dell Latitude E7440 Laptop (Intel Core i5 Processor / 8GB RAM / 256GB SSD/ HD DISPLAY /WEBCAM AND MORE,699.0,Dell i5,5.0,Beebizzle Malaysia,9.0,1.0
1020,LENOVO IDEAPAD SLIM 3 IPS3 LAPTOP (Core i3 N305 /8GB RAM/512B SSD/14 FHD OR 156 FHD DISPLAY /OFF H&S 2021/FINGER PRINT SENSOR /W11/BAG/2YR ),1899.0,Lenovo IdeaPad,5.0,EIT STORE,44.0,9.0
1043,Cheapest!!! ChromeBook 11 (Used) ACER/DELL/HP/LENOVO,99.0,Acer,5.0,Amsha Gemilang,15.0,6.0
1062,LENOVO LAPTOP IdeaPad Slim 3 (NEW Intel Core 5 120U/16GB/512GB SSD/156 IPS FHD/INTEL UHD GRAPHICS/OFF H&S 2021/W11/BACKPACK/2YRS) IPS3 83E60026MJ/83E60027MJ,2699.0,Lenovo,5.0,EIT STORE,34.0,10.0
1083,"Acer Aspire Lite 16 AL16-52P-59PP 16"" WUXGA Laptop Steel Grey ( i5-1334U, 16GB, 512GB SSD, Intel, W11, HS+M365 )",2482.96,Acer,5.0,Acer Certified Store - NBP,30.0,11.0
1084,"DELL Laptop Inspiron 15 3520 (intel i3-1215U/ 8GB or 16GB/512GB SSD/156"" IPS FHD /INTEL UHD GRAPHICS/OFF H&S 2021/W11/BAG/Platinum Silver)",1899.0,Dell,4.91,EIT STORE,27.0,7.0
1111,Apple 15-inch MacBook Air M3 chip with 8-core CPU and 10-core GPU (2024),6199.0,Apple,5.0,iTworld,9.0,5.0
1117,"[Pre Order] Apple MacBook Pro M3 Pro and M3 Max Chip (16-inch, 2023)",11999.0,Apple,5.0,TMT Thunder Official Store,8.0,2.0
1119,Lenovo 14'' Thinkbook 14 Gen 6 Laptop i5-13420H 16GB DDR5 512GB Windows 11 Trial 3Y Onsite Laptop,2699.0,Lenovo,5.0,CGi-Store,42.0,7.0
1120,BEEX 156 inch Intel Celeron J4115 8G RAM 128G/256G/512G SSD 1080 FHD Screen Fingerprint Unlock Windows11 laptop for Student,659.0,OEM,4.56,BEEX Franchise Store,86.0,44.0
1122,"MSI Laptop Modern 15 B13M-615MY (INTEL 13TH GEN I5-1335U/16GB RAM/512GB SSD/Iris Xe Graphics/156"" FHD IPS /OFF H&S 2021/ W11/SLEEVE CASE/2YRS WARRANTY)",2599.0,MSI,5.0,EIT STORE,8.0,0.0
1132,Lenovo IdeaPad Slim 3 LAPTOP IPS3 (NEW Intel Core 5 120U/16GB/512GB SSD/156 IPS FHD/INTEL UHD GRAPHICS/OFF H&S 2021/FINGER PRINT READER/ W11/ BACKPACK/2Y) 83E60026MJ/83E60027MJ,2699.0,Lenovo IdeaPad,5.0,EIT STORE,31.0,8.0
1149,ACER CHROMEBOOK 4GB RAM/32GB SSD WITH PLAY STORE IN LOWER PRICE,199.0,Acer,4.5,JS Gadgets&Gizmos ifixt ,55.0,8.0
1178,Apple MacBook Air 15-inch M3 Chip,6199.0,Apple,5.0,TMT Thunder Official Store,17.0,7.0
1184,"Touch Screen Acer Chromebook 11 C771-C4TM, Intel Celeron 3855U, 116"" HD IPS Display, 4GB LPDDR3, 32GB eMMC, 80211ac WiFi, Spill Resistant Keyboard,Google",179.0,Acer,5.0,NOVA TECH,12.0,2.0
1185,"Hp 15-Fd0218Tu 156"" Fhd Laptop Moonlight Blue (I5-1334U,8Gb,512Gb,156"", W11, Blu, H&S)",2610.0,HP,5.0,Lotus's,31.0,10.0
1186,"Lenovo 14"" Thinkbook 14 Gen 6 i5-13420H 16GB DDR5 512GB WUXGA IPS Win11Pro with Office 3Y Onsite Laptop",3099.0,Lenovo,4.87,CGi-Store,78.0,23.0
1187,"MSI MODERN 14 Laptop C12MO-1420MY (Intel Core i5-1235U/16GB RAM/ 512GB SSD/Intel Iris Xe Graphics/14"" FHD /Off H&S 2021/ W11/15kg weight/ MSI SLEEVE BAG/2Years Warranty)",2499.0,MSI,5.0,EIT STORE,13.0,3.0
