,Name,Price,Brand,Rating,Seller Name,Number of Sales,Number of Reviews
51,2025 ASUS Zenbook 14 Laptop/ASUS Zenbook Laptop/ASUS Laptop/UX3405CA/ASUS Intel Core Ultra9 285H/32GB RAM 1TB SSD Notebook/ASUS Laptop 14inch 28K 120Hz OLED Screen/华硕灵耀14 2025/华硕笔记本电脑,1270,ASUS,5,KK Technology,12,1
52,"ASUS Vivobook 16 A1605Z-AMB2141WSM | 16"" FHD+ (1920 x 1200) IPS | Intel Core i5-12500H | 16GB RAM | 512GB SSD | Win11 Home | 2Y ASUS Warranty",849,ASUS,4.97,ATRiX Aurora Computer,243,86
53,"156"" Laptop Portable 16GB Ram  1TB 2TB SSD Windows 11 Notebook Pc Gamer Intel i7-8500Y Office Computer with fingerprint unlock",345,XIAORAN,5,Global Factory Tablet Store,24,18
58,"HUAWEI MateBook X Pro Core Ultra | Laptop | 980g Ultralight Skin-Soothing Metallic body | Intel® Core"" Ultra 9 Processor | 142-inch HUAWEI 31K flexible OLED Real Colour Display | 32GB + 2TB | Morandi Blue",2926.98,Huawei,4.83,HUAWEI,89,25
59,Brand New Fuji X1 Ultrabook Laptop / 156 Inch Slim Laptop / 512GB SSD / Windows 11 / Free MS Office / SG Seller / SG Warranty,369,Fuji,3,Fuji Gadgets,5,1
60,Acer Chromebook 511 | C736T-C8NM 116-inch HD IPS Touch Screen,499,Acer,5,Acer,11,3
63,"ASUS Vivobook 15 | X1504ZA-BQ1317W | 156"" FHD Anti-Glare 250nits | Intel Core i5-1235U | 16GB DDR4 | 512GB SSD | Win11 Home | 2Y ASUS Warranty",799,ASUS,5,ATRiX Aurora Computer,71,33
64,Latitude E7450 E7490/Intel Core i5 i7/14in/16GB RAM+1TB SSD,520.34,Dell,4.77,16G+Laptop Mall,77,31
66,Brand New Fuji X-Pro Biz Intel I7 Laptop / 32GB RAM  / 512GB SSD / 156 Inch / Windows 11 / Free MS Office / Local Seller / SG Warranty !!!,349,Fuji,4.77,Fuji Gadgets,324,127
67,"DERE T11 Laptop brand new original loptop 11"" 2K IPS Touch Screen 16GB RAM 512GB SSD Intel Celeron N4500 Windows 11 Computer Notebook for student Dual camera inside and outside",477.18,DERE,5,DERE Official Store,46,15
68,Dell Latitude 7400 14in Laptop Intel Core i5/i7 8th Gen Up to 64 GB RAM 1TB NVMe FullHD WebCam HDMI TB3 W11Pro USED 30 Days Warranty - Leinfotech,268,Dell,4.8,Le Infotech,63,20
71,"Dell Latitude E6440 14in Laptop, Core i5-4300M 26GHz, 8GB Ram, 500 gb hdd, DVDRW, Windows 10 Pro 64bit",149,Dell,3,Laptop Options,9,2
