,Name,Price,Brand,Rating,Seller Name,Number of Sales,Number of Reviews
43,Optical Wireless Mouse Computer Cordless Mouse USB Wireless Mouse for Better Game Experience GXG-MY,1.66,OEM,5.0,GHGYGHJYYY,5.0,2.0
44,"Dareu LM115G Wireless Mouse Singapore Local Reseller, 1 Year 1to1 Exchange Warranty",12.9,DAREU,4.9,DAREU,2300.0,641.0
45,Wired Mouse USB 20 Office Mouse Optical Mice For Computer PC Desktop,2.9,OEM,4.84,Xinshi Computers,873.0,129.0
46,Professional Gaming Mouse 7 Buttons Colorful LED Optical USB Wired Mice Pro Gamer BAJEAL G5 Game Fire Key for PC Desktop Computer,7.5,OEM,5.0,MixGear,6.0,2.0
48,INPHIC DR6 Bluetooth Mouse Rechargeable 24G+Bluetooth 50/40 Tri-Modes Wireless Mouse 2400dpi Mute Ergonomic Mouse for iPad Laptop Desktop Mac Android Windows,15.37,Inphic,4.97,inphic,188.0,171.0
50,Verbatim 24GHz Wireless rechargeable 600mAh Mouse - 66381 66382,13.9,Verbatim,5.0,Verbatim Store,5.0,3.0
51,LOGITECH B175 WIRELESS MOUSE (3 YEAR WARRANTY) VJ-SG,3.93,OEM,4.0,Varying,11.0,2.0
52,"UGREEN MU006 Wireless Mouse, 6 Silent Buttons, Bluetooth 50 and 24G Wireless with USB Mini Receiver, 5 Level DPI Setting 4000DPI, Ambidextrous PC / Mac /Linux Laptop",18.99,UGREEN,4.94,UGREEN,494.0,207.0
53,"UGREEN MU008 Vertical Ergonomic Wireless Mouse, Bluetooth and 24GHz Wireless with USB Mini Receiver DPI Setting 4000DPI 4 Buttons for PC / Mac /Linux Laptop",29.99,UGREEN,4.64,UGREEN Direct Store,104.0,22.0
54,Prolink PMB8001 Premium Bluetooth 52 Wireless SILENT Mouse: Heavy-weighted Aluminum (Powered by Broadcom Chipset from USA),18.9,Prolink,4.73,Prolink,199.0,59.0
56,Lenovo Wired Mouse Random Design (Refurbished),5.0,Lenovo,5.0,magentamagenta,38.0,11.0
57,Wireless Mouse 1600dpi Silent Power saving Ergonomic 24G Mice USB Optical Portable Mini Ultra Thin for PC Computer Laptop,9.9,OEM,4.78,MixGear,41.0,9.0
58,"Logitech MX Anywhere 2S Bluetooth Edition Graphite Wireless Multi Device Mouse With Logitech Flow, Gesture Control and Wireless File Transfer (Work From Home, Home Based Learning)",67.8,Logitech,4.92,Logitech,9400.0,1837.0
59,"[Same Day Delivery Available] Logitech M650 Signature M650 M / M650 L Wireless Mouse Smartwheel Scrolling Graphite / Rose / Off-White (Order before 2pm on Working Day, will Deliver on Same Day, Order After 2pm, will Deliver Next Working Day)",34.0,Logitech,4.93,Video-Pro Pte Ltd,470.0,132.0
60,Logitech M650 Logi Signature Wireless Mouse Smart Wheel Scrolling Off-White Rose Graphite 1 Year Sg Warranty,39.0,Logitech,4.92,Smart Shopping,4200.0,1003.0
61,SG STOCK Razer Orochi V2 Mobile Wireless Gaming Mouse Mechanical Ultra Lightweight 24GHz 18000 DPI Optical Sensor PC Laptop,17.99,Razer,4.57,Jaymer.sg,171.0,49.0
