Unnamed: 0,Name,Price,Brand,Rating,Seller Name,Number of Sales,Number of Reviews
1108,INTEL I5 4TH GEN MINI CPU / 8GB / 128GB SSD / DELL MINI I5 4TH GEN / REFURBISHED,100.8,Dell,4.7,alforecean PC,50,9
86,Nextfun 2in1 laptop Intel CPU 101inch tablet PC Office Ultra-thin Computer Windows Tablet HDMI Business office laptop,103.2,nextfun,4.95,geyakeji,157,127
1012,"120W AC Exit Portable notebook computer power supply 36000mAh/48000mAh travel laptop computer charger, with 60W PD USB C external battery pack",106.36,PAFISH,4.8,Pafish,63,20
880,SECURE UPS Power Supply 650VA/1000VA/1500VA/2000VA/3000VA Uninterruptible For PC Desktop Laptop Wifi,107.04,DBAUDIO BY ASTRON,4.8,DBAUDIO BY ASTRON Electronics Accessories-.,14,5
985,AMD GAMING PC ENTRY LEVEL SLIM DESKTOP PRE-OWNED WITH INTEGRATEAD GRAPHICS[REFURBISHED],108,AMD,5,Eon PC,32,12
262,2 in 1 Laptop Windows 10 Business Laptop Microsoft Office Tablet PC 2023 Touch Screen 101 Inch Windows 10 System Laptop,108.72,nextfun,4.85,geyakeji,165,88
0,"FUJITSU LAPTOP 133 inches and 156 inches intel Celeron/i3/i5 | Memory 4GB 8GB 16GB | SSD128GB 256GB 512GB SSD Laptop WINDOWS 10 ""PRELOVED""",112.87,Fujitsu japan surplus,4.98,FicoPc Trading Corp.,280,96
267,"Nextfun notebook computer suitable for business and home use, with Windows 10, online course learning WiFi/Bluetooth",116.06,nextfun,4.64,nextFun Brand ,16,11
1217,Nextfun laptop 2-in-1 Win10 system 101-inch thin and light student online class office tablet,118.8,nextfun,5,nextFun Brand ,23,14
1128,"HP T630 Thin Client AMD GX-420GI 20Ghz Quad Core  4GB 8GB DDR4  128GB M2 SSD Windows 10 [PRELOVED]""",119.76,Hewlett Packard,4.2,Ryellan,11,5
1040,MINI PC INTEL I5 6TH GEN / 8GB / 128GB SSD / DELL MINI PC / REFURBISHED,120,Dell,5,alforecean PC,15,6
647,Desktop computer set gaming pc AMD A4 A6 A8 A10 Athlon 3000G Ryzen3 3200G Ryzen5 5600G with 8G 16G 32G Memory and 120G 240G 480G SSD and 500G 1TB HDD,128.52,❤️No brand❤️,4.9,BYTE Q IT,738,214
51,LAPTOP LENOVO YOGA 11E INTEL PENTIUM 4GB RAM 128GB SSD + ACCESSORIES,129.58,Lenovo,5,TFIVE,8,1
991,Lenovo Think Centre M910Q MiniPC i5 6th / I3 6th Gen Preloved,136.78,Lenovo,4.2,TGPC Computer,38,10
1039,GMK G3 Mini PC Intel 12th N100 Max 34GHz DDR4 3200MHz PCIe 30 M2 2280 SSD Windows 11 Pro 25G LAN Desktop Mini Computer 1 Year Warranty,137.54,GMK,5,GWK Offical Store,19,23
247,Toshiba  Laptop I5 5200U  16G RAM 16GB 128GB SSD 1-Year warranty Home Office Laptops,138.67,Toshiba,5,XTYLE TECH,107,7
805,HKC 24/27 Inch ips Monitor 100HZ FHD Framless Flat Gaming Office Monitor For PC Laptop,139.18,INPLAY,4.96,Inplay Gears,67,24
258,Nextfun 2-in-1 Laptop 4GB+ 128GB 101 Inch tablet HD Screen Office Study Laptop windows tablet pc,143.98,nextfun,4.96,aedtfghsrytj,167,113
1125,Desktop Set ( HP Elitedesk 800 G2 / Intel Core i5 6500 / 32 GHZ Quadcore / 16GB Ram DDR4 500GB HDD / 22 Inches Monitor / Accessories ) PREOWNED UNIT,144,HP,4.86,JJ-KING COMPUTER LAPTOP SUPPLIER,18,4
904,"Dell System unit i3 , i5 and i5 7050 / 7040 / 3020 / 3010 / 390 Ready To use REFURBISHED",148.96,Dell,4.93,PC MURA,39,15
1078,Computer Set ( Lenovo ThinkCentre SFF / Intel Core i5 6th Gen / 8GB RAM 256GB SSD ) WIFI and MAR Windows Activated PREOWNED UNIT,149.16,Lenovo,4.33,JJ-KING COMPUTER LAPTOP SUPPLIER,10,6
889,Refurbished) Toshiba Laptop Intel i7 i5 i3 Celeron | 16GB / 8GB / 4GB Memory | 512G / 256G / 128G SSD,149.59,Toshiba,5,Barattilla,22,11
249,"Lenovo Ultrabook L430 T430 L450 8GB 16GB memory options 14inch Windows 10 Intel Core i5 cpu 120gb SSD 4GB 8GB options 14inch Windows 10 ""[PRELOVED]""",151.66,Thinkpad,4.39,BYTE Q IT,92,38
614,Intel Core i5 / i7 Gaming Desktop Computer Quad-Core 8GB / 16GB RAM 256GB / 512GB M2 SSD Full Set PC Computer,153.58,INPLAY,4.87,Inplay Gears,2700,906
74,LAPTOP HP ELITEBOOK 725 G4 /AMD PRO A8 7TH GEN OR AMD PRO A10 6TH GEN / 8GB RAM 128GB SSD / 125 INCHES / BUILT IN CAMERA / WIFI READY / PREOWNED UNIT,155.74,HP,4.67,JJ-King Marketing,11,3
268,"Lenovo Ultrabook T480 T470 T460 T440S  L430 I5 I7 Windows 10 "" "" 8GB 16GB memory 14inch Windows 10 Intel Core i7 cpu  With 128g ssd 256g ssd  [REFURBISHED] 512g ssd",155.95,Thinkpad,4.63,Refurb Zone,1700,215
1139,INTEL I5 7TH GEN / 8GB / 240GB SSD / DELL CPU I5 7TH GEN / REFURBISHED,156,Dell,4,alforecean PC,14,3
1166,COR I5-7TH GEN / 8GB / 240GB SSD / DELL SFF / REFURBISHED,156,Dell,3,alforecean PC,6,2
323,"HP Laptop 8470p EliteBook 16GB memory options "" "" 14inch Windows 10 Intel Core i5 cpu 120gb SSD 4GB 8GB ""[PRELOVED]""",158.38,HP,4.95,Refurb Zone,604,438
1138,Intel  Quad Core i5 / i7 4790 computer set pc full set pc Quad-Core 8GB / 16GB RAM 256GB / 512GB M2 SSD Gaming Desktop Computer Full Set PC Computer set,158.38,ProVision,5,iJUNE PC,75,18
279,Lenovo ThinkPad L540 Laptop | 156-inch Screen | Intel Core i7/i5 | 8GB/16GB RAM | 256GB SSD |  WiFi Bluetooth | Microsoft Office 2021 | Windows 11 Pro | Business Notebook Computer,160.63,Lenovo,5,KotseParts Online Shop,24,6
1212,T11 Plus Mini PC Windows 10 Pro Intel x5-Z8350 4GB+64GB eMMC Support 25inch HDD HTPC 24G/5G WiFi Bluetooth Fanless mini computer HDMI+VGA Output Pulierde,165.06,Pulierde,5,Pulierde Official Store,9,1
137,JSHIX 2023 New Original Laptop Latest Intel Celeron N4000 N5095 J4105 8G/12G/16G RAM 256G/512G SSD 141 156 Inch IPS Full HD Home Office Gaming Student Ultrathin Laptop Desktop Computer,167.76,OEM,4.43,JSHIX Franchise Store,60,28
221,101inch Netbook Lightweight Portable Laptop ACTIONS S500 15GHz ARM Cortex-A9/Android 51/1G+8G/1024x600,167.86,Netac,5,Data Mall,8,1
1042,"All in one PC Hailan Core i5 7th Generation Full HD, 8gb ram, 256gb ssd / PRELOVED",167.98,All in one,4.75,TGPC Computer,41,15
722,Nextfun 2-in-1 Tablet PC 8 Inch Windows 10 Tablet 4G RAM+128G ROM Learning and Entertainment Tablet PC,171.6,nextfun,4.89,aedtfghsrytj,44,38
143,HP EliteBook Laptop Intel Core i7 HD Graphics 4GB  240GB  Camera  WiFi Ready  156 Screen Size REFURBISHED,180,HP,4,Logicgate Cristyle Store,5,2
72,14 Inch Windows 11 Laptops New N4000 26Ghz 8GB RAM 256GB ROM Notbook Pc Computer Laptop,180.22,Founder,5,Founder,7,2
129,Dell Laptop E6420 Storage Intel Core i3 2nd i5 2nd i7 2nd Processor 15 inches LED Screen Display 8GB RAM 128GB 240GB 480GB  REFURBISHED,182.4,Xtyle,5,XTYLE TECH,2900,365
220,TOSHIBA Laptop R634 Ultrathin work study intel Core i5 6th Gen Processore 133 inches 4G 8G 16G ddr3 RAM 250g 320g 500g HDD 128g ssd Good for Study Business REFURBISHED,184.11,Xtyle,5,XTYLE TECH,5,2
662,"Nextfun 8-inch 2-in-1 laptop tablet computer pre-installed with Microsoft Office Windows, office and learning tablet",185.52,nextfun,5,nextFun Brand ,11,9
188,"AFFORDABLE LAPTOP Core i7, i5 , i3 / 8GB RAM / SSD or HDD / Built-in WiFi & Camera - Best for student or work use | with Freebies",186.96,HP,3,OPENPINOY - The Legit MAR PC Store,6,2
285,BEEX 156 Inch laptop Intel Celeron J4105 8G RAM 512G SSD 1080P IPS Screen computer laptop 5G WiFi Windows 11 Pro,187.18,OEM,4.81,BEEX Franchise Store,162,80
102,(Free Gifts)Lsxvern 141 Inch Screen Intel Celeron Z8350/N3350 2G/6G RAM 32/64G/128/256GB SSD ROM Windows Narrow Bezel Keyboard Ultrabook Traditional/Gaming Laptop Office Work[1 Year Warranty],187.55,FUNXUN,4.79,FUNXUN Store,73,29
1129,Dell Optiplex 3050/3060/3070/3080/3090/5060 Mini-PC 5-11th Gen Intel Hexa-Core i5 16GB RAM 256GB SSD Built-in WiFi and Bluetooth Windows 11 Pro OS PRELOVED,189.58,Dell,5,MIKETECH COMPUTER CENTER,23,7
1043,Core i7 Mini CPU 8/16gbram SSD Windows,190.8,ASUS,5,MIR Computer Trading,5,1
70,"Asus Chromebook 116"" HD Laptop Celeron N4020 4gb/32gb eMMC C204MA-YB02-GR Dark Gray",191.76,ASUS,4.96,GAMEXTREME,220,53
286,"Asus Chromebook 116"" HD Laptop Celeron N4020 4GB/32GB eMMC C204MA-YB02-GR - Dark Gray",191.88,ASUS,5,Gadget World,38,10
77,Brand New laptop used laptop Intel Celeron N4000/N5095 Gaming laptops Gaming setup 12G RAM 512G SSD 1080P 5G WiFi Windows 11 Pro laptop gaming laptop 156 Inches mini pc laptop for sale original [5-year warranty],191.98,OME,5,LIAGMK Factory Store,10,3
284,Lenovo ThinkPad X240 Laptop Intel Dual-Core i5 4th gen 8GB RAM 256GB SSD Built-in WEBCAM/Camera Online class/learning Wifi Bluetooth  Portable Business Notebook Computer Ultra-thin 125 inch Screen,191.98,Lenovo,5,EXRAM.ph,20,3
656,HP ELITEDESK 800 G4 MINI PC i5-10500T - HP Pro Mini i5 -1235u - HP EliteDesk 705 G4 Ryzen 3 2200GE PRELOVED,191.98,HP,4.79,TGPC Computer,257,58
675,Teclast x SOYO M2Air Mini PC Windows11 All in one Desktop pc with Intel N4000 processorWIFI/BLUETOOTH,191.98,Teclast,5,Teclast,6,2
890,Lenovo Thinkpad Yoga 11e I INTEL I5 5TH GEN  4GB RAM 500GB I 3 MONTHS WARRANTY I  REFURBISHED LAPTOP,191.98,Lenovo ThinkPad,5,YouNiqueLovebyLeizel,5,1
3,HP Elitebook 820 G1 [Brand New] legit Laptop Intel Quad/Dual-Core i7/i5 8G/12G/16G RAM 128G SSD+500G/1T HDD 125 Inches Screen Built In Camera/Webcam Business Work at home Windows11 Pro Ms office Online Class Learning Computer WiFi/Bluetooth/Notebook,193.85,HP,4.83,iSimu Laptop ,1400,565
39,Lenovo ThinkPad X240/X250 Laptops Intel Dual/Quad-Core i5/i7 8GB RAM 128G SSD+500GB/1T HDD ROM Built-in WEBCAM/Camera Online class/learning Wifi Bluetooth Ms office Windows11 Pro Portable Business Notebook Computer Ultra-thin 125 inch  Screen,194.03,Thinkpad,4.91,RoWind PC,656,266
95,"(PRELOVED) Toshiba Portege Z30-C  Ultrabook Laptop Windows 11 Pro 6th gen Intel Core i5 cpu 8gb /16gb memory, 256GB / 512GB SSD storage, US keyboard, magnesium body MS Office",195.55,Toshiba,5,KotseParts Online Shop,16,5
687,All in One PC Computer Set Intel Core i3 / i5 / i7 8G/16G RAM 128G/ 256G/512G SSD Suitable For Online Courses Office Desktop Computer Full Set 20/24 inch HD Monitor,196.32,ProVision,4.83,INFOCRAFT,162,23
273,DELL Laptop E5470 Intel Quad-core i5 6200U With 4G/8G/16G DDR4 MEMORY Built-in Intel HD Graphics 520 Hard disk 60G 120G 240G 480G 512G SSD for Online Office refurbished,196.46,Xtyle,5,XTYLE TECH,222,75
245,"HP Laptop [Brand New] Elitebook 820 G1/840G1 [1 year Warranty] Intel Dual/Quad-Core i5/i7 8G/12G RAM 128G SSD+500GB HDD 125"" Inches Screen Built In Camera/Webcam Business Work Windows 11 Pro Ms office Online Learning Computer WiFi/Bluetooth/Notebook",197.04,HP,4.93,RoWind PC,919,427
60,Brand New Lenovo ThinkPad X280/8T X270/7TH X260/6TH laptop Intel Dual/Quad-Core i5/i7 8G/16G DDR4 RAM 256/512/1TB SSD HDD ROM Built In Camera/WEBCAM Business Ms office windows 11 PRO Ultra-thin 125 inch Screen class/learning  Business notebook computer,199.2,Lenovo,4.97,M.C.ISLAND ONLINE SHOP,33,30
382,"Refurbished Toshiba Satellite Tecra 156 inch Laptop 8GB memory 256GB or 128GB SSD Intel Core i5 8th Gen, 7th Gen or 6th Gen",199.74,Toshiba,4.64,KotseParts Online Shop,24,10
30,Brand New Lenovo ThinkPad X280/8TH X270/7TH X260/6TH laptop Intel Dual/Quad-Core i5/i7  8G/16G DDR4 RAM 256/512/1TB SSD HDD ROM Built In Camera/WEBCAM Business Ms office windows 11 PRO Ultra-thin 125 inch Screen class/learning  Business notebook computer,200.33,Lenovo ThinkPad,4.92,CM Super Laptop,841,332
714,"Lenovo ThinkPad X240 X250 laptop - Ultrabook 125"" / Intel Core i5 i7 / 8GB RAM / 128GB SSD + 1TB HDD / Windows11Pro&office / BrandNew Original",201.16,Lenovo ThinkPad,4.89,YuMo Advanced Digital Store,99,55
14,"HP Elitebook 820G1 & 840G1 Laptop / 125"" & 14"" / Intel Core i5 i7 / 16GB RAM / 128SSD+1TB HDD / Windows11Pro&Includes Office Suite",203.24,HP,4.91,YuMo Advanced Digital Store,543,286
881,Desktop Computer Set AMD A8 7680 Quad-core A6 7480 A4 6300 with DDR4 16GB RAM 512GB SSD Full Set Computer Gaming Desktop,203.5,ProVision,4.9,iJUNE PC,1000,165
25,Lenovo [Brand New]ThinkPad X260 laptop Intel Quad/Dual-Core i7/i5-6600u/6300u 8G/16G DDR4 RAM 256G/512G/1T SSD ROM Built In Camera/WEBCAM Ms office windows 11 PRO  Ultra-thin 125 inch Screen Online class/learning WIFI Bluetooth Business notebook computer,204.04,Thinkpad,4.89,iSimu Laptop ,629,208
