,Name,Price,Brand,Rating,Seller Name,Number of Sales,Number of Reviews
375,HUAWEI MateBook D16 Intel Core i5-12450H Processor/8GB/512GB 12th Gen  | FREE Backpack & Microsoft Office / Huawei Backpack/wireless mouse/32GB Pendrive,4799.0,Huawei,4.94,APPLE PC,33.0,18.0
376,"(Free Ship) Toshiba 43"" 4K UHD Google TV C350NP 43C350NP [Free Wireless Keyboard & Mouse + Bracket + HDMI Cable]",1469.0,Toshiba,4.71,KGC Advance,12.0,7.0
381,2024 Lenovo Factory's new 14-inch/15-inch FHD IPS laptop RAM 6GB+ 256GB SSD M2 NGFF-2280 SSD Intel Celeron J4105/J4125/N5095 quad-core ultra-thin notebook Windows11 camera business ultrabook pink notebook sales lowest price,1418.0,One,4.91,TOP laptop computer,118.0,43.0
385,"(Free Shipping) SONY 65"" KD65X85L 65X85L Android 4K HDR 120Hz UHD LED TV KD-65X85L (Google TV) [Free Wireless Keyboard & Mouse]",4799.0,Sony,5.0,KGC Advance,6.0,1.0
388,"MEGRA 43 Inch Smart TV Bezel-less Netflix Certified Led TV 43"" 4K / FHD Smart Television",927.9,Megra,4.93,megra.os,49.0,15.0
394,ASUS Laptop Gaming Laptop Intel i7 8565U RAM 16 GB SSD 1 TB 156 Inch Windows 11 Support Fingerprint Unlock Computer Bag Mouse,1800.0,OEM,4.83,Mkei,330.0,64.0
395,"HP EliteBook Folio 9470m i5 8GB/ 256GB 14""Business UltraBook with Backlit Keyboard Win 10 Pro 3 MW",1290.0,HP,5.0,eXtreme machinEs,13.0,3.0
398,"Dell Latitude 5480 14"" Intel Core i5-6440HQ/Ram 8GB/256GB SSD,  3 Months warranty",1590.0,Dell,5.0,iMart,8.0,3.0
409,FUJITSU LifeBook UH554 i5-4200U 8GB RAM 240 GB SSD 133 inch UltraBook Win 10 Pro 3 Months Warranty,1590.0,Fujitsu,4.8,eXtreme machinEs,19.0,5.0
410,Laptop ultra-thin fifth-generation Intel Core i5-6200U 8G RAM 128GB SSD Hantarkan tetikus ASUS secara percuma notebook student discount Windows 10 one-year warranty free gaming mouse and backpack,3499.0,AST,5.0,Clearance stores,61.0,7.0
435,"(Free Shipping) SONY 55"" KD55X75K 55X75K Android 4K HDR UHD LED TV KD-55X75K (Google TV) [Free Wireless Keyboard & Mouse]",2799.0,Sony,5.0,KGC Advance,25.0,3.0
437,"LENOVO THINKBOOK 14 G7 IML 21MRA046MJ LAPTOP (CU5-125U,16GB,1TB SSD,14""WUXGA,INTEL GRAPHICS,WIN11PRO)FREE BACKPACK + FOC THINK WIRELESS MOUSE",3299.0,Lenovo,5.0,GEDDIT DOT COM,5.0,0.0
445,LENOVO THINKPAD T460 [CORE i5-6TH GEN / 8GB RAM / 256GB SSD STORAGE / 1 YEAR WARRANTY / FREE BAG],1850.0,Lenovo,4.71,AS computers,19.0,7.0
460,"Lenovo 27"" Thinkvision P27H-30 IPS QHD HDR10 60Hz 4ms USB-C Daisy Chain Ergonomic Monitor - 63A1GAR1WW",1399.0,LENOVO THINKVISION,5.0,CGi-Store,5.0,1.0
464,Toshiba Portege Z30-C i7-6600U 6th Gen/ 8GB RAM/ 256GB SSD/ 133 FHD Touch Ultrabook Win 10 Pro 3MW,2399.0,Toshiba,5.0,eXtreme machinEs,5.0,2.0
471,Dell Latitude E7440 UltraBook i5 4th Gen 8GB/ 256GB SSD 14 Inch  Win 10 Pro,1590.0,Dell,4.0,eXtreme machinEs,9.0,2.0
483,"HP EliteBook X360 1030 G2 i5 7th Gen 16GB RAM/ 512GB SSD 133"" FHD IPS Touch Screen, Win 11 Pro",2890.0,HP,3.5,iMart,10.0,2.0
499,DELL Latitude RUGGED 7404 Extreme Touch Screen Military Grade i5/8GB RAM/256 GB SSD/Backlit Keyboard/W10 Pro,3790.0,Dell,5.0,eXtreme machinEs,10.0,2.0
510,"HP ZBook 17 Mobile Workstation/Quad-Core i7-4800MQ/16GB RAM/512GB SSD/1TB HDD/4GB NVIDIA Quadro K4100M /173"" FHD Screen/Win10 Pro/3 Months Warranty",2290.0,HP,5.0,eXtreme machinEs,9.0,2.0
525,Microsoft Surface Laptop 3 i5 128GB SSD / 8GB RAM Free Office 365 & Mouse (1 Yr Warranty Extended),4999.0,Microsoft Surface,5.0,United Mobile,5.0,2.0
526,[One-year local warranty] Brand new laptop 156-inch free Windows 10 and office software Intel Core i5-6200U 8GRAM+128G SSD office learning laptop Full metal case AST laptop ASUS factory  Clearance price Free lumbar massager gifts,4599.0,SEALUP,5.0,sealup Official,8.0,6.0
543,Disney J13 TWS Bluetooth headphone 53 Wireless mikrofon pengurangan bunyi kelewatan percuma kalis air mengecas peti,59.0,Disney,4.68,Disney Audio Store,100.0,181.0
544,Dell Latitude 3380 133 inch chromebook with playstore Touch screen (Free Gift Mouse) 4GB ram 16GB ssd type C latest charger High Quality (HEAVYDUTY),155.0,Dell,4.33,AK47 LAPTOP,10.0,3.0
545,Disney QS-T10 Bone Conduction Headphone Wireless Earphone Bluetooth 53 Earclip Headphone with mic Support Android/Ios,59.37,Disney,5.0,Disney Audio Store,11.0,4.0
584,"Laptop Gaming Notebook Intel Core i5 RAM: 6/8GB SSD: 128GB Windows 11 14inch Complimentary Computer Bag, Mouse, 2 Year Warranty",959.0,OEM,4.79,Ritz Laptop,176.0,19.0
