Unnamed: 0,Name,Price,Brand,Rating,Seller Name,Number of Sales,Number of Reviews
628,"TERMURAH!! LAPTOP HP Intel Core i3 / RAM 8GB - SSD 512GB / 14"" Inch / Win 10 / BONUS (MOUSE/TAS)",226.95,HP,4.33,Marvel stores,14,6
710,"PROMO HOT! LAPTOP LENOVO THINKPAD T460 i5-6 TH/ RAM 8GB /512 SSD / 14"" inch / (BONUS MOUSE/TAS)",226.95,Lenovo,4.67,Marvel stores,24,6
595,Touchscreen! Laptop Dell Latitude 7390 Procesor Intel Core  i5 Gen 8th RAM 16 GB/256 SSD - 8GB/256GB FREEEMOUSE DAN TAS LAPTOP,224.67,Dell Latitude,4.94,Redstar E,28,18
331,LAPTOP LENOVO THINKPAD T480 T470 CORE I5 GEN 8TH RAM 16GB - 1 TB SSD WIN 10 PRO [ GARANSI 1TAHUN ],222.93,Lenovo,2.33,Redstar E,9,3
636,LAPTOP ACER ASPIRE 3 A314 RAM 4GB SSD 256GB,222.93,Acer,4.37,Media Com,54,27
1141,PC CORE I7 SSD 256 VGA 4GB,222.74,Intel,5,Winjaya88,15,10
600,LENOVO THINKPAD X270 CORE i7 GEN 6TH / RAM 16GB - SSD 512GB / 125 Inch / Win 10 / BONUS (MOUSE/TAS),222.5,Lenovo,4.64,Marvel stores,24,11
706,SIAP PAKAI Laptop Asus x441 core i3 RAM 8GB HDD 1TB//ssd 512gb WINDOWS 10 (FREE TAS/MOUSE),220.75,ASUS,4.38,Media Com,73,34
640,LAPTOP DELL LATITUDE 7480 i7 GEN6 RAM 32 GB SSD 2 TB PROMO MURAH LAYAR TOUCHSCREEN,219.39,Dell,5,LEFA Comp,12,7
42,"PROMO HOT! LAPTOP LENOVO THINKPAD T470 CORE i7 7TH TOUCHSCREEN RAM 16GB - SSD 1 TB/ Win 10 / 14"" Inch / BONUS (MOUSE/TAS)",218.05,Lenovo,4.77,Marvel stores,121,69
388,"PROMO MURAH LAPTOP ACER ASPIRE 14"" INTEL CORE I3 - 6006U RAM 4GB HDD 1TB WINDOWS 10 BERGARANSI FREE TAS / MOUSE",218.05,Acer,4.49,US_ELEKTRONIK,59,35
51,Laptop Lenovo Thinkpad T460S TOUCHSCREEN Core i7 6th 20 GB/1TB SSD,214.19,Lenovo,4.6,CELINE ELEKTRONIK,115,68
594,Termurah Spek Tinggi! Lenovo ThinkPad YOGA 370 2in1 CORE i7 GEN7 Ram 16 GB/SSD 512GB Windows 10 Pro!,213.6,Lenovo,4.79,Redstar E,31,18
643,"Laptop HP Elitebook Type 725 430, 820 G3/G4 Core i5/i7 Layar 12,5"" Inch - SECOND, MURAH, BERKUALITAS",213.6,VV - Clothg,5,MAX LAPTOP,22,13
776,Laptop Murah dan Keren! Lenovo X1 Yoga 3RD Core i5 Gen 8 Touchscreen RAM 16GB/SSD 512GB OS Windows 10 Pro Free Tas+Mouse Bergaransi!,209.33,Lenovo,4.56,Redstar E,21,9
7,LAPTOP LENOVO THINKPAD T470 T470S CORE i5 i7 GEN 6 - LAYAR 14 INCH PENINGKATAN TERBARU,204.7,trout boy,4.88,Unlimited Laptop,36,16
110,"Advan Soulmate 14 Celeron [14""N4020,4GB,SSD128GB,W11]",204.61,ASUS,5,ARENA_IT,10,1
60,"Laptop ADVAN Soulmate Celeron N4020 4GB/128GB (upgradable) 14"" HD [PLUS PACKING KAYU]",204.18,Advan,5,RRC ELEKTRONIK,6,2
64,LAPTOP HP 820 450 725  G3 G4 CORE i5 i7 GENERASI 6/7 SUPER MURAH MULUS DAN BERGARANSI,202.65,UNINICE,4.91,Grand Laptop,51,22
