,Name,Price,Brand,Rating,Seller Name,Number of Sales,Number of Reviews
208,"realme C55 6GB+128GB/8GB+256GB | 64MP/8MP | Android 13, Realme UI 40| Fingerprint (side-mounted), accelerometer, proximity, compass|microSDXC | NFC |  Mobile Phone New",229.0,Realme,5.0,realme Singapore,8.0,4.0
237,2024 Brand New OPPO Reno13 Pro|OPPO Reno13 Mobile Phone|MTK Dimensity 8350 CPU| 683inches 120Hz AMOLED Screen|5800mAh|80W Super Flash Charge| Reno 13 Series Phone| Reno 13 Cellphone|Reno 13 Pro,608.0,OPPO,5.0,MOMO Technology,6.0,3.0
238,Global Version Xiaomi Redmi 10 Smartphone / 64GB/128GB MobilePhone 50MP AI Quad Camera 90Hz FHD Display MediaTek Helio G88 Octa Core/5000mAh Cell Phone,229.0,Xiaomi,5.0,DS Moblie Store,9.0,4.0
240,REDMI K80 Snapdragon 8 Gen 3 Phone/REDMI K80 Pro Snapdragon 8 Elite Smartphone/Redmi Cell phone/Redmi 5G Smartphone/Xiaomi HyperOS 2/667 inches 120Hz OLED Screen/120W Fast Charging/红米K80 Pro,678.0,Redmi,5.0,KK Technology,12.0,4.0
248,Brand New Reno13 Pro/ Reno13 Dimensity 8350 Cell Phone/683inch 120Hz AMOLED Screen/80W SuperVOOC/5800mAh/Reno 13 Pro手机/Reno 13 手机,610.0,OPPO,5.0,Lily Happy,10.0,3.0
249,2024 New iQOO 5G Gaming Phone| iQOO Z9 Turbo+  Dimensity 9300+ iQOO Z9 Turbo Snapdragon 8s Gen 3 | iQOO Z9 Snapdragon 7 Gen 3 | iQOO Z9x Snapdragon 6 Gen 1| iQOO Z9 Series Phone|678inch| 144Hz AMOLED Screen|6000 mAh|80W Fast Charge |Dual SIM,215.0,Vivo,5.0,MOMO Technology,9.0,3.0
252,Samsung Galaxy Z Flip 6 5G | AI Phone | Local Warranty Display&Sealed set,1098.0,Samsung,5.0,OCY SG,26.0,5.0
255,OUKITEL Fossibot F106 PRO Android 14 15GB RAM 256GB ROM 120000mAh Big battery 658” FHD+ 3W Camping light 103dB speaker Handphone 48MP+20MP night vision cam  NFC OTG Face ID Mobile phone,269.0,OUKITEL,5.0,OUKITEL Flagship Store,7.0,15.0
261,HUAWEI Pura 70 Ultra Smartphone | 16GB RAM + 512GB / 1TB ROM | Ultra Lighting Pop-out Camera | Starry Pattern Design | Ultra Speed Snapshot | Crystal Armour Kunlun Glass | 100W SuperCharge | 5200mAh Battery,1334.52,Huawei,4.69,HUAWEI,91.0,35.0
262,"HuaWei P20 Pro 6GB RAM + 128GB ROM Mobile Phone Kirin 970 61"" FHD  NFC",273.34,Huawei,5.0,TURTLE BRAND,44.0,22.0
265,HUAWEI Pura 70 Smartphone | 12GB RAM + 256GB ROM | Flat-edge Screen | Ultra Speed Snapshot | Super Durable Kunlun Glass | 66W SuperCharge | 4900mAh Battery,898.0,Huawei,5.0,HUAWEI,67.0,15.0
266,Huawei P30 Pro Smartphone 8GB RAM + 128/256GB ROM Android 90 647'' Dual Sim NFC Mobile Phone 4200mAh Mobile Phone,465.03,Huawei,4.84,Com2Share Audio store,108.0,43.0
269,Ulefone Power Armor 13  13200mAh Rugged Phone 256GB NFC Android 11 Waterproof Smartphone 681”Global Version Mobile Phones,389.0,Ulefone,5.0,Mobile Brand Store,35.0,21.0
