Unnamed: 0,Name,Price,Brand,Rating,Seller Name,Number of Sales,Number of Reviews
612,"[เก็บคูปองลดเพิ่ม 3,200-][ผ่อน 0% 10 ด]ACER NITRO V 15 ANV15-51-52CB/i5-13420H/ประกัน 3 Years",887.2,Acer,5.0,NOTEBOOK STORE,6.0,1.0
613,"MSI NOTEBOOK CYBORG 14 A13VF-064TH | 14"" FHD+ | i7-13620H | NVIDIA GeForce RTX 4060 | 16G(8GBx2) | 1TB NVMe PCIe SSD | Windows® 11 Home SEA (โน้ตบุ๊ก) [Pre-Order จัดส่งภายใน7-15วัน]",1544.0,MSI,5.0,MSI official store,22.0,8.0
616,2025 แล็ปท็อป 156 นิ้ว AMD Ryzen R7 แล็ปท็อปการเล่นเกม Window11 RAM16GB SSD 1TB เล่นเกมขนาดใหญ่,541.4,OEM,5.0,PROMISE  Computer,29.0,2.0
618,"Lenovo Yoga 7 2-in-1 14IML9 (83DJ001NTA) Core Ultra 7 155H/16GB/1TB/14""/Win11+Office(Tidal Teal)",1738.0,Lenovo,4.94,Smart Solution Computer,32.0,15.0
619,"[เก็บคูปองลดเพิ่ม 3,200-][ผ่อน 0% 10 ด]ACER ASPIRE A515-58M-93MQ/i9-13900H/ประกัน2 Y",1063.2,Acer,5.0,TOP Online,6.0,2.0
628,Lenovo LOQ 15ARP9 (83JC003NTA) Ryzen 7 7435HS/RTX 4050/24GB/512GB/156/Win11 (Luna Grey),1399.6,Lenovo,5.0,Smart Solution Computer,6.0,2.0
629,Surface Pro 11/Snapdragon® X Plus/16GB/256GB /Platinum/Windows 11Home,1615.52,Microsoft,5.0,D-KAN Online,20.0,10.0
637,Lenovo ThinkPad E14 G5 Warranty 3 Years By Lenovo,1060.2,Lenovo,5.0,D-KAN Online,13.0,7.0
656,"[ใช้คูปองลดเหลือ 16,991-] NOTEBOOK (โน้ตบุ๊ค) ASUS VIVOBOOK 15 X1502VA-NJ544WA 156"" FHD/CORE i5-13420H/16GB/SSD 512GB/WINDOWS11+OFFICE รับประกันศูนย์ไทย 2ปี",819.6,ASUS,5.0,NOA Onlinestore,8.0,5.0
661,"Lenovo Legion 7 16IRX9 (83FD008DTA) i9-14900HX/RTX4070/32GB/1TB/16""/Win11 (Eclipse Black)",3116.6,Lenovo,5.0,Smart Solution Computer,11.0,3.0
667,Acer Notebook Gaming (โน้ตบุ๊คเกม) Predator Helios Neo 16 PHN16-72-72FG,2093.1,Acer,4.5,ชิชาง,5.0,2.0
683,"Lenovo IdeaPad Slim 5 16IMH9 (83DC004CTA) Intel Core Ultra 5/16GB/512GB/16""/Win11+Office (Cloud Grey)",1279.6,Lenovo,5.0,Smart Solution Computer,8.0,2.0
691,(Notebook) Lenovo V15  IAP Warranty 1Year,588.52,Lenovo,5.0,D-KAN Online,167.0,55.0
697,"MSI NOTEBOOK KATANA A17 AI B8VF-841TH | 173"" FHD | AMD Ryzen 7-8840H | NVIDIA GeForce RTX 4060 | 16GB(8x2) DDR5 | 512GB NVMe PCIe SSD | Windows® 11 Home +  Microsoft Office Home and Student 2021 (โน้ตบุ๊ก) [Pre-Order จัดส่งภายใน7-15วัน]",1584.0,MSI,5.0,MSI official store,8.0,4.0
708,HP VICTUS 15-FB2105AX NOTEBOOK (โน๊ตบุ๊ค) AMD RYZEN 5 8645HS / RTX 2050 4GB GDDR6 / 16GB DDR5 / 512GB / WIN11 ประกันศูนย์ 2 ปี,1079.6,HP,5.0,Ubon Computer,111.0,25.0
714,Hp Probook 645 G1 สภาพสวยบอดี้อลูมิเนียม เครื่องไม่เคยซ่อม การ์ดจอแยก 1 gb  สามารถทำงานกราฟฟิก autocad ตัดต่อวิดีโอ เล่นเกมดูหนังฟังเพลง SECOND HAND,119.6,HP,4.5,Chitservice,247.0,94.0
716,Notebook โน๊ตบุ๊คมือสอง Fujitsu Celeron เล่นเน็ต ดูหนัง ฟังเพลง คาราโอเกะ ออฟฟิต เรียนออนไลน์,139.6,Fujitsu,4.67,FL Com SHOP,74.0,15.0
717,"ASUS ROG Strix G17 gaming laptop 173"", 240Hz QHD IPS, NVIDIA GeForce RTX 4060 + AMD Radeon Graphics,  AMD Ryzen 9 7845HX, 16GB DDR5-4800, 1TB PCIe 40 NVMe M2 SSD, RGB keyboard, G713PV-LL063W",2239.6,ASUS,5.0,ASUS Official Store,8.0,3.0
722,"(0%) LENOVO NOTEBOOK GAMING LEGION S7 15IMH5 (82BC001TTA) : Core i7-10750H/RTX2060 6GB/RAM 16GB/1TB SSD/156""(UHD)/Windows 10/2Year Warranty",799.2,Lenovo,5.0,We Smart Online,5.0,1.0
737,"MSI NOTEBOOK CYBORG 15 A12VE-626TH | 156"" FHD | IPS | Intel Core i7 12650H | NVIDIA GeForce RTX 4050 | 16GB(8GBx2) DDR5 | 512GB NVMe SSD | Windows 11 Home + Office Home & Student 2021(โน้ตบุ๊ก)[Pre-Order จัดส่งภายใน7-15วัน]",1542.4,MSI,5.0,MSI official store,6.0,2.0
