Unnamed: 0,Name,Price,Brand,Rating,Seller Name,Number of Sales,Number of Reviews
741,เครื่องโทรศัพท์ Analog Key (สำหรับตู้สาขาโทรศัพท์ ยี่ห้อ Panasonic เท่านั้น) รุ่น KX-AT7730 (มาแทน KX-T7730) ของแท้,516,Panasonic,5,Siam O.A. and Telecom,95,13
118,"Samsung Galaxy A35 5G 8/128GB โทรศัพท์ กล้อง 50MP จอใหญ่ 66""",479.96,Samsung,4.97,Samsung,2300,826
190,Nothing Phone (2a) 12+256 โทรศัพท์มือถือ,467.96,Nothing,5,NOTHING,119,55
466,Huawei P30 Pro Smartphone 8GB RAM + 128/256GB ROM Android 90 647'' Dual Sim NFC Mobile Phone 4200mAh Mobile Phone,464.4,Huawei,4.92,Com2Share Audio store,35,34
457,LG WING 5G LM-F100TM CellPhone Unlocked Flip Dual Screen Mobile Phone 68'' 8GB+256GB Snapdragon 765 Android NFC SmartPhone,439.96,LG,4.67,Com2Share Audio store,15,54
378,(พร้อมส่ง)  Ulefone Power Armor 14 Pro NFC Rugged Phone จอ 652 นิ้ว แรม8GB รอม128GB ระบบAndroid 12 แบตเตอรี่ 10000 Amh แข็งแรงกันฝุ่นกันน้ำได้,436,Ulefone,4.9,Rugged Phone Thailand,25,10
316,S22ultra S22Plus S22 5G 8/128 12/256GB ประกันศูนย์เหลือ เครื่องแท้มื อสอง ศุนย์ไทยเดิมๆ ใช้งานปกติ สภาพดี  USED PHONE,435.6,Samsung,4.97,jayphones,53,30
890,"Xiaomi Mi 11 Pro 5G Cellphone Smartphone, Global ROM Mobile Phones 98%new USED Snapdragon 888 Octa Core Celulares 67W Fast Charge",430.16,Xiaomi,5,SmartphoneTop1,20,2
785,"DOOGEE S200 Rugged Phone 132"" AMOLED Rear Display 12GB RAM+256GB ROM Dimensity 7050 Octa Core 100MP Camera 10100mAh 5G Phone",420,Doogee,5,Smart Electronic Shop,7,4
771,Nothing Phone 2a  สมาร์ทโฟน Nothing รุ่น 2a By Dotlife,415.96,Nothing,4.9,dotlife,54,30
989,"[LOCAL STOCK] OUKITEL WP33PRO 5G 24GB RAM 256GB ROM 66"" FHD+ Display Rugged phone Android 13 22000mAh 33W 136dB OTG NFC Smartphone",414.76,OUKITEL,5,OUKITEL Flagship Store,5,1
434,Google Pixel 6 Unlocked US Version Single Sim + eSIM 5G Mobile Phone Google Tensor (5nm) 4614 mAh 8GB + 128GB NFC Original,399.96,Google,5,Com2Share Audio store,23,13
317,Oukitel WP19 Pro 22000mAh Battery Rugged Phone 24GB 256GB Smartphone Android 13 64MP Camera 120Hz 4G Dual SIM Mobile Phone NFC,396,OUKITEL,5,Smart Electronic Shop,11,1
757,Panasonic KX-AT7730 New Model white color for KX-TES824 only,394,Panasonic,5,"PABX THAI Co.,Ltd.",26,2
